,coefficients
Overall Cond,5882.215848555774
Mas Vnr Area,3263.801983332958
BsmtFin SF 1,9546.867942364333
BsmtFin SF 2,1337.1708136672623
Total Bsmt SF,8235.362650571402
Low Qual Fin SF,-804.1595612584997
Fireplaces,2006.3988119588212
Wood Deck SF,1478.089899749957
Enclosed Porch,1139.4521771260152
Screen Porch,2880.4437276471344
MS Zoning_FV,4707.154728643439
MS Zoning_RH,1275.1801473613796
MS Zoning_RL,6517.492721058895
MS Zoning_RM,5130.383434129171
MS SubClass_45,853.7050566307344
MS SubClass_90,-2425.9301086703717
MS SubClass_120,-1537.2260428195295
MS SubClass_160,-1955.4319915734116
Exterior 1st_BrkComm,-690.5320874122576
Exterior 1st_BrkFace,2542.376207420637
Exterior 2nd_Wd Sdng,918.5339866793505
Exterior 2nd_Wd Shng,443.0584585127551
Heating_Grav,-757.4460279748696
Neighborhood_BrkSide,-1209.5192275421396
Neighborhood_ClearCr,-839.4545707591647
Neighborhood_CollgCr,-5251.02580955609
Neighborhood_Edwards,-5474.415176893128
Neighborhood_Gilbert,-3736.5134339649117
Neighborhood_IDOTRR,-2763.0634283154513
Neighborhood_MeadowV,-1519.77454884805
Neighborhood_Mitchel,-4125.710802610842
Neighborhood_NAmes,-8059.137148601091
Neighborhood_NWAmes,-5523.333601210014
Neighborhood_NoRidge,-1300.7153305150837
Neighborhood_OldTown,-4953.521582384633
Neighborhood_SWISU,-1627.992801749146
Neighborhood_Sawyer,-4783.956081658242
Neighborhood_SawyerW,-4154.102002821986
Neighborhood_Somerst,-1885.3257955759232
Neighborhood_Timber,-2621.2275422245743
Lot Config_CulDSac,1187.947065465044
Lot Config_FR3,-949.1174425272166
Roof Matl_WdShngl,1097.929025920435
Land Contour_HLS,2394.7643561791197
Sale Type_CWD,1212.2508688717273
Sale Type_Con,1502.0805373072385
Sale Type_ConLD,1017.4319201837648
Sale Type_New,5352.9455698171805
Sale Type_Oth,847.1887208093178
Sale Type_WD ,2603.7296513122683
Functional_Min1,1889.0644146858876
Functional_Min2,1723.914499333504
Functional_Typ,5222.643669353332
Exter Qual_TA,13618.24578192959
Bsmt Qual_Gd,-5691.622626813125
Bsmt Qual_TA,-5037.784721042838
Condition 1_Norm,2686.4584536255607
Condition 1_PosA,1822.3614962918377
Condition 1_PosN,1621.2658367602942
Condition 2_Norm,1104.5189424060657
Heating QC_TA,-1701.6903839133574
Kitchen Qual_Fa,-3141.9560938678924
Kitchen Qual_Gd,-7850.014447702873
Kitchen Qual_TA,-8674.374111449246
Fireplace Qu_NA,5237.213683752555
Garage Qual_Gd,1451.2531004628609
Half Bath_1,-18.619268226521854
Kitchen AbvGr_3,-387.21842123347255
age_of_home,-13275.559658905397
years_since_remodel,-3668.293962023916
log_lot_area,7835.97162732196
Overall Qual x Gr Liv Area,40227.80186586978
Overall Qual x Exter Qual_Gd,-7547.756856399963
Overall Qual x Exter Qual_TA,-19800.310051398803
Overall Qual x Full Bath_2,-2447.4194866647567
Overall Qual x Fireplace Qu_NA,-4479.275236475307
Overall Qual x Garage Cars,3782.164449415047
Overall Qual x Garage Area,3979.3357806399918
